Time_s,Filtered_Signal
0.0559,-1.801789998
0.056,0.054808205
0.0561,1.892405205
0.0562,2.150013658
0.0563,1.177861229
0.0564,0.583312058
0.0565,0.986473163
0.0566,1.288361442
0.0567,0.410486511
0.0568,-0.983901271
0.0569,-1.25163349
0.057,-0.015405339
0.0571,1.20868671
0.0572,0.919738252
0.0573,-0.478493948
0.0574,-1.336910561
0.0575,-1.009548891
0.0576,-0.587947057
0.0577,-1.162290163
0.0578,-2.09901773
0.0579,-1.799740334
0.058,0.057361832
0.0581,1.895432393
0.0582,2.153479599
0.0583,1.1817271
0.0584,0.587535445
0.0585,0.99100852
0.0586,1.293160575
0.0587,0.415499084
0.0588,-0.978727217
0.0589,-1.246351001
0.059,-0.010068013
0.0591,1.214025266
0.0592,0.925024949
0.0593,-0.473311153
0.0594,-1.331882161
0.0595,-1.004723341
0.0596,-0.583370314
0.0597,-1.158005253
0.0598,-2.095064349
0.0599,-1.796154488
0.06,0.060548151
0.0601,1.898191482
0.0602,2.155788278
0.0603,1.183566899
0.0604,0.588892738
0.0605,0.991874614
0.0606,1.293531747
0.0607,0.415376568
0.0608,-0.97933729
0.0609,-1.247437715
0.061,-0.011615821
0.0611,1.212036339
0.0612,0.922619067
0.0613,-0.476105922
0.0614,-1.335034163
0.0615,-1.008197685
0.0616,-0.587129251
0.0617,-1.16200858
0.0618,-2.099269833
0.0619,-1.800518308
0.062,0.056070955
0.0621,1.89364655
0.0622,2.15122147
0.0623,1.179023834
0.0624,0.584418347
0.0625,0.987512698
0.0626,1.289324552
0.0627,0.411364381
0.0628,-0.98311652
0.0629,-1.250948733
0.063,-0.01482639
0.0631,1.209155149
0.0632,0.920092623
0.0633,-0.478256033
0.0634,-1.336790309
0.0635,-1.009546326
0.0636,-0.588061034
0.0637,-1.162518389
0.0638,-2.099356799
0.0639,-1.800185773
0.064,0.056815511
0.0641,1.894791624
0.0642,2.152751693
0.0643,1.180920161
0.0644,0.586658282
0.0645,0.990070552
0.0646,1.292171732
0.0647,0.414469703
0.0648,-0.979786498
0.0649,-1.247429354
0.065,-0.011154526
0.0651,1.212941475
0.0652,0.923954628
0.0653,-0.474357497
0.0654,-1.332894364
0.0655,-1.00569168
0.0656,-0.584285598
0.0657,-1.15885891
0.0658,-2.095848505
0.0659,-1.796862038
0.066,0.059923478
0.0661,1.897655071
0.0662,2.155344586
0.0663,1.183219412
0.0664,0.588643955
0.0665,0.991726027
0.0666,1.293483835
0.0667,0.415428805
0.0668,-0.979186419
0.0669,-1.247190691
0.067,-0.011276057
0.0671,1.212464543
0.0672,0.923130573
0.0673,-0.475517029
0.0674,-1.334374506
0.0675,-1.007474527
0.0676,-0.586350413
0.0677,-1.161182359
0.0678,-2.098404917
0.0679,-1.799623678
0.068,0.056986108
0.0681,1.894572923
0.0682,2.152149742
0.0683,1.179944757
0.0684,0.585322839
0.0685,0.988391929
0.0686,1.290170033
0.0687,0.412168042
0.0688,-0.982362252
0.0689,-1.250250867
0.069,-0.014191301
0.0691,1.20972177
0.0692,0.920585825
0.0693,-0.477840423
0.0694,-1.336455651
0.0695,-1.009295142
0.0696,-0.58789499
0.0697,-1.162438289
0.0698,-2.099362585
0.0699,-1.800276532
0.07,0.056641527
0.0701,1.894536973
0.0702,2.152419709
0.0703,1.180514913
0.0704,0.586184529
0.0705,0.989533686
0.0706,1.291577718
0.0707,0.413825015
0.0708,-0.980474946
0.0709,-1.248154282
0.071,-0.011908365
0.0711,1.212166508
0.0712,0.923166448
0.0713,-0.475150922
0.0714,-1.333685095
0.0715,-1.006471881
0.0716,-0.585047618
0.0717,-1.159595354
0.0718,-2.096552306
0.0719,-1.797526523
0.072,0.059304523
0.0721,1.897087348
0.0722,2.154833228
0.0723,1.182768943
0.0724,0.588258248
0.0725,0.991408271
0.0726,1.293236513
0.0727,0.415253676
0.0728,-0.979288332
0.0729,-1.247219105
0.073,-0.011231419
0.0731,1.212581061
0.0732,0.923317098
0.0733,-0.475263048
0.0734,-1.334056266
0.0735,-1.00709583
0.0736,-0.585915626
0.0737,-1.160696364
0.0738,-2.097873053
0.0739,-1.79905169
0.074,0.057592134
0.0741,1.895206623
0.0742,2.15280454
0.0743,1.180613934
0.0744,0.585999599
0.0745,0.989069468
0.0746,1.290841608
0.0747,0.412827035
0.0748,-0.981722268
0.0749,-1.249636064
0.075,-0.013607543
0.0751,1.210268991
0.0752,0.92109143
0.0753,-0.477381046
0.0754,-1.336046609
0.0755,-1.00894
0.0756,-0.587596744
0.0757,-1.162199337
0.0758,-2.099184713
0.0759,-1.8001609
0.076,0.056694388
0.0761,1.894527162
0.0762,2.152347947
0.0763,1.180382531
0.0764,0.585993446
0.0765,0.989286385
0.0766,1.291277218
0.0767,0.413474832
0.0768,-0.980870836
0.0769,-1.248591488
0.077,-0.01238213
0.0771,1.211661259
0.0772,0.922635051
0.0773,-0.475702925
0.0774,-1.334252009
0.0775,-1.007047923
0.0776,-0.585626969
0.0777,-1.160172222
0.0778,-2.09712098
0.0779,-1.798081432
0.078,0.05876876
0.0781,1.896575867
0.0782,2.154350872
0.0783,1.182320218
0.0784,0.587847279
0.0785,0.99103877
0.0786,1.292911741
0.0787,0.414976416
0.0788,-0.979515797
0.0789,-1.247395007
0.079,-0.011354524
0.0791,1.212511452
0.0792,0.923301145
0.0793,-0.47522572
0.0794,-1.333966558
0.0795,-1.006955156
0.0796,-0.585725892
0.0797,-1.160459943
0.0798,-2.097592761
0.0799,-1.798730751
0.08,0.057950126
0.0801,1.89559774
0.0802,2.153224565
0.0803,1.181058402
0.0804,0.586463848
0.0805,0.989548687
0.0806,1.291330882
0.0807,0.413321401
0.0808,-0.981227776
0.0809,-1.249146364
0.081,-0.013127455
0.0811,1.210734789
0.0812,0.921538449
0.0813,-0.476957062
0.0814,-1.335649647
0.0815,-1.008573738
0.0816,-0.587264517
0.0817,-1.16190411
0.0818,-2.098929052
0.0819,-1.799946954
0.082,0.056864907
0.0821,1.894652992
0.0822,2.152428281
0.0823,1.180417023
0.0824,0.585982208
0.0825,0.989229985
0.0826,1.291176666
0.0827,0.413331567
0.0828,-0.981054965
0.0829,-1.248814243
0.083,-0.012640912
0.0831,1.21136938
0.0832,0.922313307
0.0833,-0.476051038
0.0834,-1.334622769
0.0835,-1.007437417
0.0836,-0.586031139
0.0837,-1.160586903
0.0838,-2.097541946
0.0839,-1.798504435
0.084,0.058347946
0.0841,1.896161404
0.0842,2.153946817
0.0843,1.181930485
0.0844,0.587475601
0.0845,0.99068866
0.0846,1.292586467
0.0847,0.414678965
0.0848,-0.979782745
0.0849,-1.247629102
0.085,-0.011553766
0.0851,1.212348698
0.0852,0.923176134
0.0853,-0.475312121
0.0854,-1.334013875
0.0855,-1.006963307
0.0856,-0.585695185
0.0857,-1.16039107
0.0858,-2.097486787
0.0859,-1.798589098
0.086,0.058125694
0.0861,1.895805141
0.0862,2.153461418
0.0863,1.181322062
0.0864,0.586751425
0.0865,0.989857085
0.0866,1.291656827
0.0867,0.413661479
0.0868,-0.980877088
0.0869,-1.248788657
0.087,-0.012766355
0.0871,1.211095657
0.0872,0.921895501
0.0873,-0.476607339
0.0874,-1.335310656
0.0875,-1.008248743
0.0876,-0.586956609
0.0877,-1.161616181
0.0878,-2.098663766
0.0879,-1.799706722
0.088,0.057077945
0.0881,1.894836988
0.0882,2.152581696
0.0883,1.180538635
0.0884,0.586071126
0.0885,0.989285649
0.0886,1.291198854
0.0887,0.413320391
0.0888,-0.981099061
0.0889,-1.248890495
0.089,-0.01274824
0.0891,1.211232351
0.0892,0.922148236
0.0893,-0.476242232
0.0894,-1.334837924
